,SampleID,Tissue,Factor,Condition,bamReads,ControlID,bamControl,PeakCaller,Peaks
1,diff_12b_SR_RA_vs_2231_AF_LA_c2.0_cond2.bed,diff_12b_SR_RA_vs_2231_AF_LA_c2.0_cond2.bed,H3K27ac,diff_12b_SR_RA_vs_2231_AF_LA_c2.0_cond2.bed,NA,diff_12b_SR_RA_vs_2231_AF_LA_c2.0_cond2.bed,NA,bed,diff_12b_SR_RA_vs_2231_AF_LA_c2.0_cond2.bed
2,diff_12b_SR_RA_vs_25_AF_LA_c2.0_cond2.bed,diff_12b_SR_RA_vs_25_AF_LA_c2.0_cond2.bed,H3K27ac,diff_12b_SR_RA_vs_25_AF_LA_c2.0_cond2.bed,NA,diff_12b_SR_RA_vs_25_AF_LA_c2.0_cond2.bed,NA,bed,diff_12b_SR_RA_vs_25_AF_LA_c2.0_cond2.bed
3,diff_12b_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,diff_12b_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,H3K27ac,diff_12b_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,NA,diff_12b_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,NA,bed,diff_12b_SR_RA_vs_28_AF_LA_c2.0_cond2.bed
4,diff_12b_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,diff_12b_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,H3K27ac,diff_12b_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,NA,diff_12b_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,NA,bed,diff_12b_SR_RA_vs_31_AF_LA_c2.0_cond2.bed
5,diff_12b_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,diff_12b_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,H3K27ac,diff_12b_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,NA,diff_12b_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,NA,bed,diff_12b_SR_RA_vs_313_AF_LA_c2.0_cond2.bed
6,diff_12b_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,diff_12b_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,H3K27ac,diff_12b_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,NA,diff_12b_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,NA,bed,diff_12b_SR_RA_vs_47_AF_LA_c2.0_cond2.bed
7,diff_18_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,diff_18_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,H3K27ac,diff_18_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,NA,diff_18_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,NA,bed,diff_18_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed
8,diff_18_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,diff_18_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,H3K27ac,diff_18_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,NA,diff_18_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,NA,bed,diff_18_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed
9,diff_18_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,diff_18_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,H3K27ac,diff_18_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,NA,diff_18_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,NA,bed,diff_18_AF_RA_vs_20_SR_LA_c2.0_cond1.bed
10,diff_18_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,diff_18_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,H3K27ac,diff_18_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,NA,diff_18_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,NA,bed,diff_18_AF_RA_vs_20_SR_RA_c2.0_cond1.bed
11,diff_18_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,diff_18_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,H3K27ac,diff_18_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,NA,diff_18_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,NA,bed,diff_18_AF_RA_vs_27_SR_LA_c2.0_cond1.bed
