,Pos,Cp,Marker,Sample,Avg_Ct,stdv,Norm_input,Relative_enrichment_normInpt,Norm_GAPDH,Relative_enrichment_normGAPDH,Norm_GAPDH_Input,RelEnrich_Norm_GAPDH_Input,Norm_GAPDH_Input,RelEnrich_Norm_GAPDH_Input,Norm_MYL7_Input,RelEnrich_Norm_MYL7_Input,GAPDHnormOverInputNorm
1,A1,27.72,GAPDH,Sample1,27.09333333,0.553744827,,,,,,,,,,,
2,A2,26.89,GAPDH,Sample1,,,,,,,,,,,,,
3,B1,26.67,GAPDH,Sample1,,,,,,,,,,,,,
4,C3,27.93,GAPDH,Sample10,27.61,0.393954312,,,,,,,,,,,
5,C4,27.73,GAPDH,Sample10,,,,,,,,,,,,,
6,D3,27.17,GAPDH,Sample10,,,,,,,,,,,,,
7,C1,28.74,GAPDH,Sample2,28.48666667,0.430155011,,,,,,,,,,,
8,C2,28.73,GAPDH,Sample2,,,,,,,,,,,,,
9,D1,27.99,GAPDH,Sample2,,,,,,,,,,,,,
10,E1,28.71,GAPDH,Sample3,28.17666667,0.479826357,,,,,,,,,,,
11,E2,28.04,GAPDH,Sample3,,,,,,,,,,,,,
12,F1,27.78,GAPDH,Sample3,,,,,,,,,,,,,
13,G1,26.46,GAPDH,Sample4,26.40333333,0.106926766,,,,,,,,,,,
14,G2,26.47,GAPDH,Sample4,,,,,,,,,,,,,
15,H1,26.28,GAPDH,Sample4,,,,,,,,,,,,,
16,I1,30.34,GAPDH,Sample5,30.12333333,0.34122329,,,,,,,,,,,
17,I2,30.3,GAPDH,Sample5,,,,,,,,,,,,,
18,J1,29.73,GAPDH,Sample5,,,,,,,,,,,,,
19,K1,29.81,GAPDH,Sample6,29.38666667,0.366651515,,,,,,,,,,,
20,K2,29.18,GAPDH,Sample6,,,,,,,,,,,,,
21,L1,29.17,GAPDH,Sample6,,,,,,,,,,,,,
22,M1,30,GAPDH,Sample7,29.68333333,0.480867272,,,,,,,,,,,
23,M2,29.92,GAPDH,Sample7,,,,,,,,,,,,,
24,N1,29.13,GAPDH,Sample7,,,,,,,,,,,,,
25,O1,31.23,GAPDH,Sample8,31.33,0.227156334,,,,,,,,,,,
26,O2,31.59,GAPDH,Sample8,,,,,,,,,,,,,
27,P1,31.17,GAPDH,Sample8,,,,,,,,,,,,,
28,A3,28.64,GAPDH,Sample9,28.05,0.516430053,,,,,,,,,,,
29,A4,27.83,GAPDH,Sample9,,,,,,,,,,,,,
30,B3,27.68,GAPDH,Sample9,,,,,,,,,,,,,
31,E3,28.29,GAPDH,SampleI1,27.96666667,0.330201958,,,,,,,,,,,
32,E4,27.98,GAPDH,SampleI1,,,,,,,,,,,,,
33,F3,27.63,GAPDH,SampleI1,,,,,,,,,,,,,
34,G5,27.07,GAPDH,SampleI10,26.92333333,0.168027775,,,,,,,,,,,
35,G6,26.96,GAPDH,SampleI10,,,,,,,,,,,,,
36,H5,26.74,GAPDH,SampleI10,,,,,,,,,,,,,
37,G3,28.13,GAPDH,SampleI2,28.07333333,0.125033329,,,,,,,,,,,
38,G4,28.16,GAPDH,SampleI2,,,,,,,,,,,,,
39,H3,27.93,GAPDH,SampleI2,,,,,,,,,,,,,
40,I3,29.49,GAPDH,SampleI3,29.53,0.12489996,,,,,,,,,,,
41,I4,29.67,GAPDH,SampleI3,,,,,,,,,,,,,
42,J3,29.43,GAPDH,SampleI3,,,,,,,,,,,,,
43,K3,30.1,GAPDH,SampleI4,29.57333333,0.55148285,,,,,,,,,,,
44,K4,29.62,GAPDH,SampleI4,,,,,,,,,,,,,
45,L3,29,GAPDH,SampleI4,,,,,,,,,,,,,
46,M3,29.71,GAPDH,SampleI5,29.13666667,0.560475988,,,,,,,,,,,
47,M4,29.11,GAPDH,SampleI5,,,,,,,,,,,,,
48,N3,28.59,GAPDH,SampleI5,,,,,,,,,,,,,
49,O3,29.75,GAPDH,SampleI6,29.22,0.520288382,,,,,,,,,,,
50,O4,29.2,GAPDH,SampleI6,,,,,,,,,,,,,
51,P3,28.71,GAPDH,SampleI6,,,,,,,,,,,,,
52,A5,29.49,GAPDH,SampleI7,29.28666667,0.181750745,,,,,,,,,,,
53,A6,29.23,GAPDH,SampleI7,,,,,,,,,,,,,
54,B5,29.14,GAPDH,SampleI7,,,,,,,,,,,,,
55,C5,29.49,GAPDH,SampleI8,29.43,0.314324673,,,,,,,,,,,
56,C6,29.71,GAPDH,SampleI8,,,,,,,,,,,,,
57,D5,29.09,GAPDH,SampleI8,,,,,,,,,,,,,
58,E5,27.99,GAPDH,SampleI9,27.45333333,0.609945353,,,,,,,,,,,
59,E6,27.58,GAPDH,SampleI9,,,,,,,,,,,,,
60,F5,26.79,GAPDH,SampleI9,,,,,,,,,,,,,
61,I5,28.45,MYL7,Sample1,28.24333333,0.349332697,-1.246666667,2.37292527,1.15,0.450625231,-0.373333333,1.295342252,,,,,
62,I6,28.44,MYL7,Sample1,,,,,,,,,,,,,
63,J5,27.84,MYL7,Sample1,,,,,,,,,,,,,
64,K7,30.81,MYL7,Sample10,30.37,0.413279566,2.373333333,0.192999186,2.76,0.147624083,1.686666667,0.310643836,,,,,
65,K8,30.31,MYL7,Sample10,,,,,,,,,,,,,
66,L7,29.99,MYL7,Sample10,,,,,,,,,,,,,
67,K5,30.63,MYL7,Sample2,30.19666667,0.430038758,1.71,0.305660069,1.71,0.305660069,1.296666667,0.407065634,,,,,
68,K6,29.77,MYL7,Sample2,,,,,,,,,,,,,
69,L5,30.19,MYL7,Sample2,,,,,,,,,,,,,
70,M5,29.46,MYL7,Sample3,29.20333333,0.29569128,-1.006666667,2.009263349,1.026666667,0.490842928,0.346666667,0.786398968,,,,,
71,M6,29.27,MYL7,Sample3,,,,,,,,,,,,,
72,N5,28.88,MYL7,Sample3,,,,,,,,,,,,,
73,O5,28.85,MYL7,Sample4,28.65,0.264575131,-3.043333333,8.243936163,2.246666667,0.210710386,0.126666667,0.91594529,,,,,
74,O6,28.75,MYL7,Sample4,,,,,,,,,,,,,
75,P5,28.35,MYL7,Sample4,,,,,,,,,,,,,
76,A7,29.77,MYL7,Sample5,29.42666667,0.31214313,-0.24,1.180992661,-0.696666667,1.620755722,-1.226666667,2.340256506,,,,,
77,A8,29.35,MYL7,Sample5,,,,,,,,,,,,,
78,B7,29.16,MYL7,Sample5,,,,,,,,,,,,,
79,C7,31.26,MYL7,Sample6,31.12333333,0.172143351,0.613333333,0.653684624,1.736666667,0.300062167,0.446666667,0.733736182,,,,,
80,C8,31.18,MYL7,Sample6,,,,,,,,,,,,,
81,D7,30.93,MYL7,Sample6,,,,,,,,,,,,,
82,E7,31.68,MYL7,Sample7,31.15666667,0.478991997,1.736666667,0.300062167,1.473333333,0.360149215,1.34,0.395020656,,,,,
83,E8,31.05,MYL7,Sample7,,,,,,,,,,,,,
84,F7,30.74,MYL7,Sample7,,,,,,,,,,,,,
85,G7,34.4,MYL7,Sample8,33.94,0.655057249,2.993333333,0.125578959,2.61,0.163799175,1.093333333,0.468677248,,,,,
86,G8,34.23,MYL7,Sample8,,,,,,,,,,,,,
87,H7,33.19,MYL7,Sample8,,,,,,,,,,,,,
88,I7,27.67,MYL7,Sample9,27.41333333,0.29569128,-2.583333333,5.993228308,-0.636666667,1.554732811,-3.18,9.063071082,,,,,
89,I8,27.48,MYL7,Sample9,,,,,,,,,,,,,
90,J7,27.09,MYL7,Sample9,,,,,,,,,,,,,
91,M7,29.54,MYL7,SampleI1,29.49,0.045825757,,,1.523333333,0.347881211,,,,,,,
92,M8,29.45,MYL7,SampleI1,,,,,,,,,,,,,
93,N7,29.48,MYL7,SampleI1,,,,,,,,,,,,,
94,O9,28.54,MYL7,SampleI10,27.99666667,0.661538611,,,1.073333333,0.475219739,,,,,,,
95,O10,28.19,MYL7,SampleI10,,,,,,,,,,,,,
96,P9,27.26,MYL7,SampleI10,,,,,,,,,,,,,
97,O7,28.78,MYL7,SampleI2,28.48666667,0.285365263,,,0.413333333,0.750886452,,,,,,,
98,O8,28.47,MYL7,SampleI2,,,,,,,,,,,,,
99,P7,28.21,MYL7,SampleI2,,,,,,,,,,,,,
100,A9,30.67,MYL7,SampleI3,30.21,0.402864742,,,0.68,0.624165274,,,,,,,
101,A10,30.04,MYL7,SampleI3,,,,,,,,,,,,,
102,B9,29.92,MYL7,SampleI3,,,,,,,,,,,,,
103,C9,31.86,MYL7,SampleI4,31.69333333,0.434664622,,,2.12,0.230046913,,,,,,,
104,C10,32.02,MYL7,SampleI4,,,,,,,,,,,,,
105,D9,31.2,MYL7,SampleI4,,,,,,,,,,,,,
106,E9,29.65,MYL7,SampleI5,29.66666667,0.047258156,,,0.53,0.692554734,,,,,,,
107,E10,29.63,MYL7,SampleI5,,,,,,,,,,,,,
108,F9,29.72,MYL7,SampleI5,,,,,,,,,,,,,
109,G9,30.68,MYL7,SampleI6,30.51,0.206639783,,,1.29,0.408951029,,,,,,,
110,G10,30.28,MYL7,SampleI6,,,,,,,,,,,,,
111,H9,30.57,MYL7,SampleI6,,,,,,,,,,,,,
112,I9,29.49,MYL7,SampleI7,29.42,0.157162336,,,0.133333333,0.911722489,,,,,,,
113,I10,29.53,MYL7,SampleI7,,,,,,,,,,,,,
114,J9,29.24,MYL7,SampleI7,,,,,,,,,,,,,
