,Pos,Cp,Marker,Sample,Avg_Ct,Sdev,Norm_input,Relative_enrichment_normInpt,Norm_GAPDH,Relative_enrichment_normGAPDH,Norm_GAPDH_Input,RelEnrich_Norm_GAPDH_Input
1,A1,26.54,GAPDH,Sample1,26.16,0.537401154,,,,,,
2,A2,25.78,GAPDH,Sample1,,,,,,,,
3,B1,24.76,GAPDH,Sample1,,,,,,,,
4,C3,28.52,GAPDH,Sample10,27.035,0.650538239,,,,,,
5,C4,27.6,GAPDH,Sample10,,,,,,,,
6,D3,26.47,GAPDH,Sample10,,,,,,,,
7,C1,27.66,GAPDH,Sample2,27.17666667,0.453688586,,,,,,
8,C2,27.11,GAPDH,Sample2,,,,,,,,
9,D1,26.76,GAPDH,Sample2,,,,,,,,
10,E1,27.62,GAPDH,Sample3,26.52,0.424264069,,,,,,
11,E2,26.82,GAPDH,Sample3,,,,,,,,
12,F1,26.22,GAPDH,Sample3,,,,,,,,
13,G1,26.02,GAPDH,Sample4,25.8,0.29866369,,,,,,
14,G2,25.92,GAPDH,Sample4,,,,,,,,
15,H1,25.46,GAPDH,Sample4,,,,,,,,
16,I1,27.85,GAPDH,Sample5,27.445,0.572756493,,,,,,
17,I2,27.04,GAPDH,Sample5,,,,,,,,
18,J1,26.14,GAPDH,Sample5,,,,,,,,
19,K1,28.09,GAPDH,Sample6,27.82333333,0.275378527,,,,,,
20,K2,27.84,GAPDH,Sample6,,,,,,,,
21,L1,27.54,GAPDH,Sample6,,,,,,,,
22,M1,27.85,GAPDH,Sample7,27.44,0.516430053,,,,,,
23,M2,27.61,GAPDH,Sample7,,,,,,,,
24,N1,26.86,GAPDH,Sample7,,,,,,,,
25,O1,29.12,GAPDH,Sample8,28.5,0.635531274,,,,,,
26,O2,28.53,GAPDH,Sample8,,,,,,,,
27,P1,27.85,GAPDH,Sample8,,,,,,,,
28,A3,29.83,GAPDH,Sample9,28.315,0.431335137,,,,,,
29,A4,28.62,GAPDH,Sample9,,,,,,,,
30,B3,28.01,GAPDH,Sample9,,,,,,,,
31,E3,27.35,GAPDH,SampleI1,26.95,0.478434949,,,,,,
32,E4,27.08,GAPDH,SampleI1,,,,,,,,
33,F3,26.42,GAPDH,SampleI1,,,,,,,,
34,G5,26.96,GAPDH,SampleI10,26.56666667,0.502924779,,,,,,
35,G6,26.74,GAPDH,SampleI10,,,,,,,,
36,H5,26,GAPDH,SampleI10,,,,,,,,
37,G3,26.99,GAPDH,SampleI2,26.66333333,0.442304571,,,,,,
38,G4,26.84,GAPDH,SampleI2,,,,,,,,
39,H3,26.16,GAPDH,SampleI2,,,,,,,,
40,I3,27.27,GAPDH,SampleI3,27.13666667,0.302875112,,,,,,
41,I4,27.35,GAPDH,SampleI3,,,,,,,,
42,J3,26.79,GAPDH,SampleI3,,,,,,,,
43,K3,28.25,GAPDH,SampleI4,28.07666667,0.353459097,,,,,,
44,K4,28.31,GAPDH,SampleI4,,,,,,,,
45,L3,27.67,GAPDH,SampleI4,,,,,,,,
46,M3,28.57,GAPDH,SampleI5,28.38333333,0.265015723,,,,,,
47,M4,28.5,GAPDH,SampleI5,,,,,,,,
48,N3,28.08,GAPDH,SampleI5,,,,,,,,
49,O3,28.34,GAPDH,SampleI6,28.08,0.441701257,,,,,,
50,O4,28.33,GAPDH,SampleI6,,,,,,,,
51,P3,27.57,GAPDH,SampleI6,,,,,,,,
52,A5,28.59,GAPDH,SampleI7,28.23333333,0.337095437,,,,,,
53,A6,28.19,GAPDH,SampleI7,,,,,,,,
54,B5,27.92,GAPDH,SampleI7,,,,,,,,
55,C5,29.31,GAPDH,SampleI8,28.76,0.61878914,,,,,,
56,C6,28.88,GAPDH,SampleI8,,,,,,,,
57,D5,28.09,GAPDH,SampleI8,,,,,,,,
58,E5,27.31,GAPDH,SampleI9,26.95333333,0.44117268,,,,,,
59,E6,27.09,GAPDH,SampleI9,,,,,,,,
60,F5,26.46,GAPDH,SampleI9,,,,,,,,
61,I15,26.63,NPPB_AF008,Sample1,26.23333333,0.390170903,0.28,0.823591017,0.073333333,0.950439478,1.07,0.476318999
62,I16,26.22,NPPB_AF008,Sample1,,,,,,,,
63,J15,25.85,NPPB_AF008,Sample1,,,,,,,,
64,K17,27.86,NPPB_AF008,Sample10,27.52333333,0.380832422,0.763333333,0.589133569,0.488333333,0.712848137,0.295,0.815072332
65,K18,27.6,NPPB_AF008,Sample10,,,,,,,,
66,L17,27.11,NPPB_AF008,Sample10,,,,,,,,
67,K15,27.53,NPPB_AF008,Sample2,27.28,0.245153013,1.616666667,0.326088017,0.103333333,0.930879716,1.103333333,0.465439858
68,K16,27.27,NPPB_AF008,Sample2,,,,,,,,
69,L15,27.04,NPPB_AF008,Sample2,,,,,,,,
70,M15,27.5,NPPB_AF008,Sample3,27.2,0.274954542,0.97,0.510506063,0.68,0.624165274,1.586666667,0.33293982
71,M16,27.14,NPPB_AF008,Sample3,,,,,,,,
72,N15,26.96,NPPB_AF008,Sample3,,,,,,,,
73,O15,27.05,NPPB_AF008,Sample4,26.48333333,0.665832812,-0.473333333,1.38831345,0.683333333,0.622724811,1.803333333,0.28651184
74,O16,26.65,NPPB_AF008,Sample4,,,,,,,,
75,P15,25.75,NPPB_AF008,Sample4,,,,,,,,
76,A17,28.19,NPPB_AF008,Sample5,27.105,0.643467171,0.781666667,0.581694405,-0.34,1.265756594,1.72,0.303548721
77,A18,27.56,NPPB_AF008,Sample5,,,,,,,,
78,B17,26.65,NPPB_AF008,Sample5,,,,,,,,
79,C17,29.49,NPPB_AF008,Sample6,29.13333333,0.31785741,2.673333333,0.156764051,1.31,0.40332088,2.93,0.131214585
80,C18,29.03,NPPB_AF008,Sample6,,,,,,,,
81,D17,28.88,NPPB_AF008,Sample6,,,,,,,,
82,E17,28.43,NPPB_AF008,Sample7,28.33333333,0.212210587,3.266666667,0.103904737,0.893333333,0.538368784,4.06,0.059954007
83,E18,28.48,NPPB_AF008,Sample7,,,,,,,,
84,F17,28.09,NPPB_AF008,Sample7,,,,,,,,
85,G17,30.06,NPPB_AF008,Sample8,30.11,0.29816103,3.66,0.079109787,1.61,0.327598351,3.92,0.066063628
86,G18,30.43,NPPB_AF008,Sample8,,,,,,,,
87,H17,29.84,NPPB_AF008,Sample8,,,,,,,,
88,I17,28.07,NPPB_AF008,Sample9,27.855,0.304055916,0.051666667,0.96482108,-0.46,1.375541818,-1.31,2.4794154
89,I18,27.64,NPPB_AF008,Sample9,,,,,,,,
90,J17,26.54,NPPB_AF008,Sample9,,,,,,,,
91,M17,26.3,NPPB_AF008,SampleI1,25.95333333,0.378197479,,,-0.996666667,1.995384353,,
92,M18,26.01,NPPB_AF008,SampleI1,,,,,,,,
93,N17,25.55,NPPB_AF008,SampleI1,,,,,,,,
94,O19,27.16,NPPB_AF008,SampleI10,26.76,0.355527777,,,0.193333333,0.87458267,,
95,O20,26.64,NPPB_AF008,SampleI10,,,,,,,,
96,P19,26.48,NPPB_AF008,SampleI10,,,,,,,,
97,O17,25.99,NPPB_AF008,SampleI2,25.66333333,0.358375966,,,-1,2,,
98,O18,25.72,NPPB_AF008,SampleI2,,,,,,,,
99,P17,25.28,NPPB_AF008,SampleI2,,,,,,,,
100,A19,26.78,NPPB_AF008,SampleI3,26.23,0.497895571,,,-0.906666667,1.874708993,,
101,A20,26.1,NPPB_AF008,SampleI3,,,,,,,,
102,B19,25.81,NPPB_AF008,SampleI3,,,,,,,,
103,C19,27.54,NPPB_AF008,SampleI4,26.95666667,0.545191098,,,-1.12,2.173469725,,
104,C20,26.87,NPPB_AF008,SampleI4,,,,,,,,
105,D19,26.46,NPPB_AF008,SampleI4,,,,,,,,
106,E19,26.57,NPPB_AF008,SampleI5,26.32333333,0.36828431,,,-2.06,4.169863043,,
107,E20,26.5,NPPB_AF008,SampleI5,,,,,,,,
108,F19,25.9,NPPB_AF008,SampleI5,,,,,,,,
109,G19,26.6,NPPB_AF008,SampleI6,26.46,0.14,,,-1.62,3.073750363,,
110,G20,26.46,NPPB_AF008,SampleI6,,,,,,,,
111,H19,26.32,NPPB_AF008,SampleI6,,,,,,,,
112,I19,25.71,NPPB_AF008,SampleI7,25.06666667,0.583980593,,,-3.166666667,8.979696386,,
113,I20,24.92,NPPB_AF008,SampleI7,,,,,,,,
114,J19,24.57,NPPB_AF008,SampleI7,,,,,,,,
115,K19,26.68,NPPB_AF008,SampleI8,26.45,0.216564078,,,-2.31,4.9588308,,
116,K20,26.42,NPPB_AF008,SampleI8,,,,,,,,
117,L19,26.25,NPPB_AF008,SampleI8,,,,,,,,
118,M19,27.98,NPPB_AF008,SampleI9,27.80333333,0.1530795,,,0.85,0.554784736,,
119,M20,27.72,NPPB_AF008,SampleI9,,,,,,,,
120,N19,27.71,NPPB_AF008,SampleI9,,,,,,,,
121,I5,28.82,SCX_A,Sample1,28.33333333,0.47088569,0.526666667,0.694156725,2.173333333,0.221697847,1.316666667,0.401461441
122,I6,28.3,SCX_A,Sample1,,,,,,,,
123,J5,27.88,SCX_A,Sample1,,,,,,,,
124,K7,29.49,SCX_A,Sample10,29.2,0.493659802,0.693333333,0.618423337,2.165,0.22298213,0.225,0.855595026
125,K8,29.48,SCX_A,Sample10,,,,,,,,
126,L7,28.63,SCX_A,Sample10,,,,,,,,
127,K5,29.53,SCX_A,Sample2,28.95333333,0.642987817,1.163333333,0.446479756,1.776666667,0.291856951,0.65,0.637280314
128,K6,29.07,SCX_A,Sample2,,,,,,,,
129,L5,28.26,SCX_A,Sample2,,,,,,,,
130,M5,30.47,SCX_A,Sample3,30.315,0.219203102,2.078333333,0.236787802,3.795,0.072042897,2.695,0.15442733
131,M6,30.16,SCX_A,Sample3,,,,,,,,
132,N5,28.99,SCX_A,Sample3,,,,,,,,
133,O5,29.51,SCX_A,Sample4,29.28,0.325269119,0.05,0.965936329,3.48,0.089622203,2.326666667,0.199344172
134,O6,29.05,SCX_A,Sample4,,,,,,,,
135,P5,28.16,SCX_A,Sample4,,,,,,,,
136,A7,29.16,SCX_A,Sample5,28.89,0.27,0.63,0.646176415,1.445,0.367292158,1.568333333,0.337197715
137,A8,28.89,SCX_A,Sample5,,,,,,,,
138,B7,28.62,SCX_A,Sample5,,,,,,,,
139,C7,30.89,SCX_A,Sample6,30.50666667,0.375277675,1.546666667,0.342300032,2.683333333,0.155681203,1.803333333,0.28651184
140,C8,30.14,SCX_A,Sample6,,,,,,,,
141,D7,30.49,SCX_A,Sample6,,,,,,,,
142,E7,30.51,SCX_A,Sample7,30.06666667,0.445009363,1.136666667,0.454809197,2.626666667,0.161917781,1.93,0.262429171
143,E8,30.07,SCX_A,Sample7,,,,,,,,
144,F7,29.62,SCX_A,Sample7,,,,,,,,
145,G7,31.54,SCX_A,Sample8,31.35666667,0.444334709,0.626666667,0.647671126,2.856666667,0.13805675,0.886666667,0.540862333
146,G8,31.68,SCX_A,Sample8,,,,,,,,
147,H7,30.85,SCX_A,Sample8,,,,,,,,
148,I7,28.16,SCX_A,Sample9,28.04,0.137477271,-1.226666667,2.340256506,-0.275,1.209994089,-2.588333333,6.014035289
149,I8,28.07,SCX_A,Sample9,,,,,,,,
150,J7,27.89,SCX_A,Sample9,,,,,,,,
151,M7,28.15,SCX_A,SampleI1,27.80666667,0.447921124,,,0.856666667,0.552227,,
152,M8,27.97,SCX_A,SampleI1,,,,,,,,
153,N7,27.3,SCX_A,SampleI1,,,,,,,,
154,O9,28.92,SCX_A,SampleI10,28.50666667,0.392088425,,,1.94,0.26061644,,
155,O10,28.46,SCX_A,SampleI10,,,,,,,,
156,P9,28.14,SCX_A,SampleI10,,,,,,,,
157,O7,28.14,SCX_A,SampleI2,27.79,0.35,,,1.126666667,0.457972645,,
158,O8,27.79,SCX_A,SampleI2,,,,,,,,
159,P7,27.44,SCX_A,SampleI2,,,,,,,,
160,A9,28.52,SCX_A,SampleI3,28.23666667,0.439810565,,,1.1,0.466516496,,
161,A10,28.46,SCX_A,SampleI3,,,,,,,,
162,B9,27.73,SCX_A,SampleI3,,,,,,,,
163,C9,29.81,SCX_A,SampleI4,29.23,0.606547607,,,1.153333333,0.449585268,,
164,C10,29.28,SCX_A,SampleI4,,,,,,,,
