,Pos,Cp,Marker,Sample,Avg_Ct,Sdev,Norm_GAPDH,Relative_expression_GAPDHnorm,Norm_TBP,Relative_expression_TBPnorm
1,A1,20.92,GAPDH,Sample1,20.72,0.235796522,,,,
2,A2,20.78,GAPDH,Sample1,,,,,,
3,B1,20.46,GAPDH,Sample1,,,,,,
4,C3,20.27,GAPDH,Sample10,19.95,0.386910842,,,,
5,C4,20.06,GAPDH,Sample10,,,,,,
6,D3,19.52,GAPDH,Sample10,,,,,,
7,C1,21.08,GAPDH,Sample2,20.90333333,0.232450712,,,,
8,C2,20.99,GAPDH,Sample2,,,,,,
9,D1,20.64,GAPDH,Sample2,,,,,,
10,E1,21.57,GAPDH,Sample3,21.21,0.419046537,,,,
11,E2,21.31,GAPDH,Sample3,,,,,,
12,F1,20.75,GAPDH,Sample3,,,,,,
13,G1,20.56,GAPDH,Sample4,20.22,0.350190424,,,,
14,G2,20.51,GAPDH,Sample4,,,,,,
15,H1,19.93,GAPDH,Sample4,,,,,,
16,I1,21.59,GAPDH,Sample5,21.32333333,0.318956632,,,,
17,I2,21.41,GAPDH,Sample5,,,,,,
18,J1,20.97,GAPDH,Sample5,,,,,,
19,K1,20.78,GAPDH,Sample6,20.66333333,0.160727513,,,,
20,K2,20.73,GAPDH,Sample6,,,,,,
21,L1,20.48,GAPDH,Sample6,,,,,,
22,M1,20.44,GAPDH,Sample7,20.435,0.101159939,,,,
23,M2,20.43,GAPDH,Sample7,,,,,,
24,N1,20.26,GAPDH,Sample7,,,,,,
25,O1,21.99,GAPDH,Sample8,21.63666667,0.442756517,,,,
26,O2,21.78,GAPDH,Sample8,,,,,,
27,P1,21.14,GAPDH,Sample8,,,,,,
28,A3,20.48,GAPDH,Sample9,20.14333333,0.374477414,,,,
29,A4,20.21,GAPDH,Sample9,,,,,,
30,B3,19.74,GAPDH,Sample9,,,,,,
31,I5,28.75,SCX,Sample1,28.34,0.405092582,7.62,0.005083367,0.91,0.532185091
32,I6,28.33,SCX,Sample1,,,,,,
33,J5,27.94,SCX,Sample1,,,,,,
34,K7,26.83,SCX,Sample10,26.71666667,0.155026879,6.766666667,0.009183968,-0.28,1.214194884
35,K8,26.78,SCX,Sample10,,,,,,
36,L7,26.54,SCX,Sample10,,,,,,
37,K5,28.32,SCX,Sample2,27.835,0.359212101,6.931666667,0.008191443,-0.005,1.003471749
38,K6,28.06,SCX,Sample2,,,,,,
39,L5,27.61,SCX,Sample2,,,,,,
40,M5,29.32,SCX,Sample3,28.97666667,0.31214313,7.766666667,0.004591984,2.12,0.230046913
41,M6,28.9,SCX,Sample3,,,,,,
42,N5,28.71,SCX,Sample3,,,,,,
43,O5,29.72,SCX,Sample4,29.6,0.567097875,9.38,0.001500855,2.47,0.180491149
44,O6,29.48,SCX,Sample4,,,,,,
45,P5,28.64,SCX,Sample4,,,,,,
46,A7,28.93,SCX,Sample5,28.68,0.275378527,7.356666667,0.006101304,1.223333333,0.428292009
47,A8,28.88,SCX,Sample5,,,,,,
48,B7,28.43,SCX,Sample5,,,,,,
49,C7,28.78,SCX,Sample6,28.41666667,0.37554405,7.753333333,0.00463462,1.343333333,0.394109018
50,C8,28.44,SCX,Sample6,,,,,,
51,D7,28.03,SCX,Sample6,,,,,,
52,E7,27.8,SCX,Sample7,27.56333333,0.207926269,7.128333333,0.007147561,1.3,0.406126198
53,E8,27.48,SCX,Sample7,,,,,,
54,F7,27.41,SCX,Sample7,,,,,,
55,G7,29.08,SCX,Sample8,29.04,0.763151361,7.403333333,0.005907104,2.06,0.23981603
56,G8,29,SCX,Sample8,,,,,,
57,H7,27.72,SCX,Sample8,,,,,,
58,I7,28.27,SCX,Sample9,28.055,0.522589705,7.911666667,0.004152896,0.921666667,0.527898815
59,I8,27.84,SCX,Sample9,,,,,,
60,J7,27.23,SCX,Sample9,,,,,,
61,E3,27.57,TBP,Sample1,27.43,0.684202699,,,,
62,E4,27.29,TBP,Sample1,,,,,,
63,F3,26.27,TBP,Sample1,,,,,,
