,Pos,Cp,Marker,Sample,Avg_ct,Sdev,Norm_GAPDH,Relative_expression_GAPDHnorm,Norm_TBP,Relative_expression_TBPnorm
121,A1,20.97,GAPDH,Sample1,20.21,0.664304147,,,,
122,A2,19.92,GAPDH,Sample1,,,,,,
123,B1,19.74,GAPDH,Sample1,,,,,,
124,C3,19.27,GAPDH,Sample10,19.03666667,0.257746646,,,,
125,C4,19.08,GAPDH,Sample10,,,,,,
126,D3,18.76,GAPDH,Sample10,,,,,,
127,C1,18.45,GAPDH,Sample2,17.83,0.635531274,,,,
128,C2,17.86,GAPDH,Sample2,,,,,,
129,D1,17.18,GAPDH,Sample2,,,,,,
130,E1,18.8,GAPDH,Sample3,18.38333333,0.557524289,,,,
131,E2,18.6,GAPDH,Sample3,,,,,,
132,F1,17.75,GAPDH,Sample3,,,,,,
133,G1,18.97,GAPDH,Sample4,18.66333333,0.338575447,,,,
134,G2,18.72,GAPDH,Sample4,,,,,,
135,H1,18.3,GAPDH,Sample4,,,,,,
136,I1,26.04,GAPDH,Sample5,25.98666667,0.075718778,,,,
137,I2,26.02,GAPDH,Sample5,,,,,,
138,J1,25.9,GAPDH,Sample5,,,,,,
139,K1,21.83,GAPDH,Sample6,21.78,0.122882057,,,,
140,K2,21.87,GAPDH,Sample6,,,,,,
141,L1,21.64,GAPDH,Sample6,,,,,,
142,M1,21.57,GAPDH,Sample7,21.45333333,0.176729549,,,,
143,M2,21.54,GAPDH,Sample7,,,,,,
144,N1,21.25,GAPDH,Sample7,,,,,,
145,O1,22.59,GAPDH,Sample8,22.21666667,0.36073998,,,,
146,O2,22.19,GAPDH,Sample8,,,,,,
147,P1,21.87,GAPDH,Sample8,,,,,,
148,A3,19.48,GAPDH,Sample9,19.06666667,0.358096821,,,,
149,A4,18.85,GAPDH,Sample9,,,,,,
150,B3,18.87,GAPDH,Sample9,,,,,,
203,E3,24.96,TBP,Sample1,24.58,0.480416486,,,,
204,E4,24.74,TBP,Sample1,,,,,,
205,F3,24.04,TBP,Sample1,,,,,,
206,G5,26.54,TBP,Sample10,26.3,0.256320112,,,,
207,G6,26.33,TBP,Sample10,,,,,,
208,H5,26.03,TBP,Sample10,,,,,,
209,G3,26.9,TBP,Sample2,26.54,0.405955663,,,,
210,G4,26.62,TBP,Sample2,,,,,,
211,H3,26.1,TBP,Sample2,,,,,,
212,I3,26.28,TBP,Sample3,25.99333333,0.30664855,,,,
213,I4,26.03,TBP,Sample3,,,,,,
214,J3,25.67,TBP,Sample3,,,,,,
215,K3,26.1,TBP,Sample4,25.93,0.221133444,,,,
216,K4,26.01,TBP,Sample4,,,,,,
217,L3,25.68,TBP,Sample4,,,,,,
218,M3,26.99,TBP,Sample5,26.75,0.281602557,,,,
219,M4,26.82,TBP,Sample5,,,,,,
220,N3,26.44,TBP,Sample5,,,,,,
221,O3,31.49,TBP,Sample6,31.29,0.177763888,,,,
222,O4,31.15,TBP,Sample6,,,,,,
223,P3,31.23,TBP,Sample6,,,,,,
224,A5,26.76,TBP,Sample7,26.7,0.079372539,,,,
225,A6,26.73,TBP,Sample7,,,,,,
226,B5,26.61,TBP,Sample7,,,,,,
227,C5,26.92,TBP,Sample8,26.80333333,0.115036226,,,,
228,C6,26.8,TBP,Sample8,,,,,,
229,D5,26.69,TBP,Sample8,,,,,,
230,E5,26.7,TBP,Sample9,26.49333333,0.29143324,,,,
231,E6,26.62,TBP,Sample9,,,,,,
232,F5,26.16,TBP,Sample9,,,,,,
1,M7,25.77,ANGPT1,Sample1,25.57666667,0.334863156,5.366666667,0.024236637,0.996666667,0.501156581
2,M8,25.77,ANGPT1,Sample1,,,,,,
3,N7,25.19,ANGPT1,Sample1,,,,,,
4,O9,28.99,ANGPT1,Sample10,28.66666667,0.281128678,9.63,0.001262063,2.366666667,0.193893095
5,O10,28.53,ANGPT1,Sample10,,,,,,
6,P9,28.48,ANGPT1,Sample10,,,,,,
7,O7,30.58,ANGPT1,Sample2,29.96333333,0.546290521,12.13333333,0.000222588,3.423333333,0.093212463
8,O8,29.77,ANGPT1,Sample2,,,,,,
9,P7,29.54,ANGPT1,Sample2,,,,,,
10,A9,27.85,ANGPT1,Sample3,27.33,0.454312668,8.946666667,0.002026679,1.336666667,0.395934403
11,A10,27.13,ANGPT1,Sample3,,,,,,
12,B9,27.01,ANGPT1,Sample3,,,,,,
13,C9,26.8,ANGPT1,Sample4,26.68333333,0.168621865,8.02,0.003852472,0.753333333,0.593231317
14,C10,26.76,ANGPT1,Sample4,,,,,,
15,D9,26.49,ANGPT1,Sample4,,,,,,
16,E9,27.84,ANGPT1,Sample5,27.77,0.175783958,1.783333333,0.290511397,1.02,0.493116352
17,E10,27.9,ANGPT1,Sample5,,,,,,
18,F9,27.57,ANGPT1,Sample5,,,,,,
19,G9,28.23,ANGPT1,Sample6,28.26333333,0.182300119,6.483333333,0.011176921,-3.026666667,8.14924648
20,G10,28.46,ANGPT1,Sample6,,,,,,
21,H9,28.1,ANGPT1,Sample6,,,,,,
22,I9,26.01,ANGPT1,Sample7,25.89,0.125299641,4.436666667,0.046177483,-0.81,1.753211443
23,I10,25.9,ANGPT1,Sample7,,,,,,
24,J9,25.76,ANGPT1,Sample7,,,,,,
25,K9,27.23,ANGPT1,Sample8,27.17666667,0.195533458,4.96,0.032128557,0.373333333,0.771996743
26,K10,27.34,ANGPT1,Sample8,,,,,,
27,L9,26.96,ANGPT1,Sample8,,,,,,
28,M9,27.15,ANGPT1,Sample9,26.84,0.296141858,7.773333333,0.004570813,0.346666667,0.786398968
29,M10,26.81,ANGPT1,Sample9,,,,,,
30,N9,26.56,ANGPT1,Sample9,,,,,,
31,M17,31.09,BLM,Sample1,29.33,1.160229862,9.12,0.001797242,4.75,0.037162722
32,M18,29.89,BLM,Sample1,,,,,,
33,N17,28.77,BLM,Sample1,,,,,,
