,Pos,Cp,Marker,Sample,Avg_Ct,stdv,Norm_input,Relative_enrichment_normInpt,Norm_GAPDH,Relative_enrichment_normGAPDH,Norm_GAPDH_Input,RelEnrich_Norm_GAPDH_Input
121,A1,25.99,GAPDH,Sample1,25.42,0.495681349,-1.963333333,,,,,
122,A2,25.18,GAPDH,Sample1,,,,,,,,
123,B1,25.09,GAPDH,Sample1,,,,,,,,
124,G5,29.74,GAPDH,Sample10,28.96,0.681469001,2.416666667,,,,,
125,G6,28.66,GAPDH,Sample10,,,,,,,,
126,H5,28.48,GAPDH,Sample10,,,,,,,,
127,C1,28.79,GAPDH,Sample2,28.35333333,0.688210239,1.083333333,,,,,
128,C2,28.71,GAPDH,Sample2,,,,,,,,
129,D1,27.56,GAPDH,Sample2,,,,,,,,
130,E1,27.8,GAPDH,Sample3,26.98666667,0.858040403,-0.026666667,,,,,
131,E2,27.07,GAPDH,Sample3,,,,,,,,
132,F1,26.09,GAPDH,Sample3,,,,,,,,
133,G1,26.92,GAPDH,Sample4,26.20333333,0.663651515,-4.033333333,,,,,
134,G2,26.08,GAPDH,Sample4,,,,,,,,
135,H1,25.61,GAPDH,Sample4,,,,,,,,
136,I1,28.86,GAPDH,Sample5,27.615,0.73979727,-3.68,,,,,
137,I2,27.79,GAPDH,Sample5,,,,,,,,
138,J1,27.44,GAPDH,Sample5,,,,,,,,
139,K1,28.76,GAPDH,Sample6,28.26666667,0.51081634,0.766666667,,,,,
140,K2,28.3,GAPDH,Sample6,,,,,,,,
141,L1,27.74,GAPDH,Sample6,,,,,,,,
142,M1,28.25,GAPDH,Sample7,27.99666667,0.31785741,0.403333333,,,,,
143,M2,28.1,GAPDH,Sample7,,,,,,,,
144,N1,27.64,GAPDH,Sample7,,,,,,,,
145,O1,30.1,GAPDH,Sample8,29.74,0.317490157,0.63,,,,,
146,O2,29.62,GAPDH,Sample8,,,,,,,,
147,P1,29.5,GAPDH,Sample8,,,,,,,,
148,E5,26.77,GAPDH,Sample9,26.26,0.634113554,-3.453333333,,,,,
149,E6,26.46,GAPDH,Sample9,,,,,,,,
150,F5,25.55,GAPDH,Sample9,,,,,,,,
151,E3,27.88,GAPDH,SampleI1,27.38333333,0.464363363,,,,,,
152,E4,27.31,GAPDH,SampleI1,,,,,,,,
153,F3,26.96,GAPDH,SampleI1,,,,,,,,
154,C3,26.91,GAPDH,SampleI10,26.54333333,0.410406303,,,,,,
155,C4,26.62,GAPDH,SampleI10,,,,,,,,
156,D3,26.1,GAPDH,SampleI10,,,,,,,,
157,G3,27.78,GAPDH,SampleI2,27.27,0.471487009,,,,,,
158,G4,27.18,GAPDH,SampleI2,,,,,,,,
159,H3,26.85,GAPDH,SampleI2,,,,,,,,
160,I3,27.42,GAPDH,SampleI3,27.01333333,0.352751093,,,,,,
161,I4,26.83,GAPDH,SampleI3,,,,,,,,
162,J3,26.79,GAPDH,SampleI3,,,,,,,,
163,K3,30.97,GAPDH,SampleI4,30.23666667,0.745273999,,,,,,
164,K4,30.26,GAPDH,SampleI4,,,,,,,,
165,L3,29.48,GAPDH,SampleI4,,,,,,,,
166,M3,31.04,GAPDH,SampleI5,31.295,0.949964912,,,,,,
167,M4,31.55,GAPDH,SampleI5,,,,,,,,
168,N3,29.71,GAPDH,SampleI5,,,,,,,,
169,O3,27.19,GAPDH,SampleI6,27.5,0.188767935,,,,,,
170,O4,27.44,GAPDH,SampleI6,,,,,,,,
171,P3,27.56,GAPDH,SampleI6,,,,,,,,
172,A5,27.92,GAPDH,SampleI7,27.59333333,0.303534732,,,,,,
173,A6,27.32,GAPDH,SampleI7,,,,,,,,
174,B5,27.54,GAPDH,SampleI7,,,,,,,,
175,C5,29.32,GAPDH,SampleI8,29.11,0.499299509,,,,,,
176,C6,29.47,GAPDH,SampleI8,,,,,,,,
177,D5,28.54,GAPDH,SampleI8,,,,,,,,
178,A3,30,GAPDH,SampleI9,29.71333333,0.271538825,,,,,,
179,A4,29.68,GAPDH,SampleI9,,,,,,,,
180,B3,29.46,GAPDH,SampleI9,,,,,,,,
1,A11,30.15,ANGPT1_SRRA306,Sample1,29.095,0.649332991,2.795,0.144085793,3.675,0.078291527,4.758333333,0.036948681
2,A12,29.32,ANGPT1_SRRA306,Sample1,,,,,,,,
3,B11,28.87,ANGPT1_SRRA306,Sample1,,,,,,,,
4,C13,32.33,ANGPT1_SRRA306,Sample10,31.4,0.838987485,4.55,0.042688758,2.44,0.184283652,2.133333333,0.227930622
5,C14,31.17,ANGPT1_SRRA306,Sample10,,,,,,,,
6,D13,30.7,ANGPT1_SRRA306,Sample10,,,,,,,,
