,Pos,Cp,Marker,Sample,Avg_Ct,stdv,Norm_input,Relative_enrichment_normInpt,Norm_GAPDH,Relative_enrichment_normGAPDH,Norm_GAPDH_Input,RelEnrich_Norm_GAPDH_Input
1,A1,26.04,GAPDH,Sample1,25.60333333,0.456106713,,,,,,
2,A2,25.64,GAPDH,Sample1,,,,,,,,
3,B1,25.13,GAPDH,Sample1,,,,,,,,
4,C3,26.57,GAPDH,Sample10,26.50333333,0.315330514,,,,,,
5,C4,26.78,GAPDH,Sample10,,,,,,,,
6,D3,26.16,GAPDH,Sample10,,,,,,,,
7,C1,27,GAPDH,Sample2,26.84333333,0.342977162,,,,,,
8,C2,27.08,GAPDH,Sample2,,,,,,,,
9,D1,26.45,GAPDH,Sample2,,,,,,,,
10,E1,27.04,GAPDH,Sample3,26.73666667,0.551573507,,,,,,
11,E2,27.07,GAPDH,Sample3,,,,,,,,
12,F1,26.1,GAPDH,Sample3,,,,,,,,
13,G1,27.16,GAPDH,Sample4,26.48,0.706328535,,,,,,
14,G2,26.53,GAPDH,Sample4,,,,,,,,
15,H1,25.75,GAPDH,Sample4,,,,,,,,
16,I1,27.64,GAPDH,Sample5,26.88666667,0.82196918,,,,,,
17,I2,27.01,GAPDH,Sample5,,,,,,,,
18,J1,26.01,GAPDH,Sample5,,,,,,,,
19,K1,28.52,GAPDH,Sample6,27.82666667,0.646632301,,,,,,
20,K2,27.72,GAPDH,Sample6,,,,,,,,
21,L1,27.24,GAPDH,Sample6,,,,,,,,
22,M1,28.35,GAPDH,Sample7,27.82333333,0.6132971,,,,,,
23,M2,27.97,GAPDH,Sample7,,,,,,,,
24,N1,27.15,GAPDH,Sample7,,,,,,,,
25,O1,29.53,GAPDH,Sample8,29.27333333,0.461988456,,,,,,
26,O2,29.55,GAPDH,Sample8,,,,,,,,
27,P1,28.74,GAPDH,Sample8,,,,,,,,
28,A3,26.46,GAPDH,Sample9,26.14,0.34176015,,,,,,
29,A4,26.18,GAPDH,Sample9,,,,,,,,
