Sample	Sample_type	
GSM3666571	SRLA	955.0562
GSM3666572	SRRA	1015.0102
GSM3666573	SRLA	864.2019
GSM3666574	SRRA	802.4778
GSM3666575	SRLA	803.1438
GSM3666576	SRRA	934.9969
GSM3666577	SRLA	800.1274
GSM3666578	SRRA	756.8966
GSM3666579	SRLA	840.9896
GSM3666580	SRRA	928.3245
GSM3666581	AFLA	1166.2428
GSM3666582	AFRA	1098.5787
GSM3666583	AFLA	1022.3209
GSM3666584	AFRA	1143.6471
GSM3666585	AFLA	982.3908
GSM3666586	AFRA	1341.4579
GSM3666587	AFLA	1144.5722
GSM3666588	AFRA	969.4577
GSM3666589	AFLA	832.5572
GSM3666590	AFRA	1028.0030
