names	Condition	Tissue	files
GSM3666571	SR	LA	GSM3666571_SR_LA_Homo_sapiens.GRCh38_Male_SRR8714853-72_7_RNA-Seq.bam
GSM3666572	SR	RA	GSM3666572_SR_RA_Homo_sapiens.GRCh38_Male_SRR8714873-92_7_RNA-Seq.bam
GSM3666573	SR	LA	GSM3666573_SR_LA_Homo_sapiens.GRCh38_Male_SRR8714893-12_12b_RNA-Seq.bam
GSM3666574	SR	RA	GSM3666574_SR_RA_Homo_sapiens.GRCh38_Male_SRR8714913-32_12b_RNA-Seq.bam
GSM3666575	SR	LA	GSM3666575_SR_LA_Homo_sapiens.GRCh38_Male_SRR8714933-52_20_RNA-Seq.bam
GSM3666576	SR	RA	GSM3666576_SR_RA_Homo_sapiens.GRCh38_Male_SRR8714953-72_20_RNA-Seq.bam
GSM3666577	SR	LA	GSM3666577_SR_LA_Homo_sapiens.GRCh38_Male_SRR8714973-92_27_RNA-Seq.bam
GSM3666578	SR	RA	GSM3666578_SR_RA_Homo_sapiens.GRCh38_Male_SRR8714993-5012_27_RNA-Seq.bam
GSM3666579	SR	LA	GSM3666579_SR_LA_Homo_sapiens.GRCh38_Male_SRR8715013-32_30_RNA-Seq.bam
GSM3666580	SR	RA	GSM3666580_SR_RA_Homo_sapiens.GRCh38_Male_SRR8715033-52_30_RNA-Seq.bam
GSM3666581	AF	LA	GSM3666581_AF_LA_Homo_sapiens.GRCh38_Male_SRR8715053-72_5_RNA-Seq.bam
GSM3666582	AF	RA	GSM3666582_AF_RA_Homo_sapiens.GRCh38_Male_SRR8715073-82_5_RNA-Seq.bam
GSM3666583	AF	LA	GSM3666583_AF_LA_Homo_sapiens.GRCh38_Male_SRR8715083-112_14_RNA-Seq.bam
GSM3666584	AF	RA	GSM3666584_AF_RA_Homo_sapiens.GRCh38_Male_SRR8715113-32_14_RNA-Seq.bam
GSM3666585	AF	LA	GSM3666585_AF_LA_Homo_sapiens.GRCh38_Male_SRR8715133-52_25_RNA-Seq.bam
GSM3666586	AF	RA	GSM3666586_AF_RA_Homo_sapiens.GRCh38_Male_SRR8715153-72_25_RNA-Seq.bam
GSM3666587	AF	LA	GSM3666587_AF_LA_Homo_sapiens.GRCh38_Male_SRR8715173-92_28_RNA-Seq.bam
GSM3666588	AF	RA	GSM3666588_AF_RA_Homo_sapiens.GRCh38_Male_SRR8715193-212_28_RNA-Seq.bam
GSM3666589	AF	LA	GSM3666589_AF_LA_Homo_sapiens.GRCh38_Male_SRR8715213-32_31_RNA-Seq.bam
GSM3666590	AF	RA	GSM3666590_AF_RA_Homo_sapiens.GRCh38_Male_SRR8715233-52_31_RNA-Seq.bam
