names	ConSide	files
GSM3666571	SRLA	GSM3666571_SR_LA_Homo_sapiens.GRCh38_Male_SRR8714853-72_7_RNA-Seq.bam
GSM3666572	SRRA	GSM3666572_SR_RA_Homo_sapiens.GRCh38_Male_SRR8714873-92_7_RNA-Seq.bam
GSM3666573	SRLA	GSM3666573_SR_LA_Homo_sapiens.GRCh38_Male_SRR8714893-12_12b_RNA-Seq.bam
GSM3666574	SRRA	GSM3666574_SR_RA_Homo_sapiens.GRCh38_Male_SRR8714913-32_12b_RNA-Seq.bam
GSM3666575	SRLA	GSM3666575_SR_LA_Homo_sapiens.GRCh38_Male_SRR8714933-52_20_RNA-Seq.bam
GSM3666576	SRRA	GSM3666576_SR_RA_Homo_sapiens.GRCh38_Male_SRR8714953-72_20_RNA-Seq.bam
GSM3666577	SRLA	GSM3666577_SR_LA_Homo_sapiens.GRCh38_Male_SRR8714973-92_27_RNA-Seq.bam
GSM3666578	SRRA	GSM3666578_SR_RA_Homo_sapiens.GRCh38_Male_SRR8714993-5012_27_RNA-Seq.bam
GSM3666579	SRLA	GSM3666579_SR_LA_Homo_sapiens.GRCh38_Male_SRR8715013-32_30_RNA-Seq.bam
GSM3666580	SRRA	GSM3666580_SR_RA_Homo_sapiens.GRCh38_Male_SRR8715033-52_30_RNA-Seq.bam
GSM3666581	AFLA	GSM3666581_AF_LA_Homo_sapiens.GRCh38_Male_SRR8715053-72_5_RNA-Seq.bam
GSM3666582	AFRA	GSM3666582_AF_RA_Homo_sapiens.GRCh38_Male_SRR8715073-82_5_RNA-Seq.bam
GSM3666583	AFLA	GSM3666583_AF_LA_Homo_sapiens.GRCh38_Male_SRR8715083-112_14_RNA-Seq.bam
GSM3666584	AFRA	GSM3666584_AF_RA_Homo_sapiens.GRCh38_Male_SRR8715113-32_14_RNA-Seq.bam
GSM3666585	AFLA	GSM3666585_AF_LA_Homo_sapiens.GRCh38_Male_SRR8715133-52_25_RNA-Seq.bam
GSM3666586	AFRA	GSM3666586_AF_RA_Homo_sapiens.GRCh38_Male_SRR8715153-72_25_RNA-Seq.bam
GSM3666587	AFLA	GSM3666587_AF_LA_Homo_sapiens.GRCh38_Male_SRR8715173-92_28_RNA-Seq.bam
GSM3666588	AFRA	GSM3666588_AF_RA_Homo_sapiens.GRCh38_Male_SRR8715193-212_28_RNA-Seq.bam
GSM3666589	AFLA	GSM3666589_AF_LA_Homo_sapiens.GRCh38_Male_SRR8715213-32_31_RNA-Seq.bam
GSM3666590	AFRA	GSM3666590_AF_RA_Homo_sapiens.GRCh38_Male_SRR8715233-52_31_RNA-Seq.bam
