MRE(NR)/Neuro2A-NR3C2-ChIPnexus(GSE115417)/Homer,MRE
MITF(bHLH)/MastCells-MITF-ChIP-Seq(GSE48085)/Homer,MITF
ZNF189(Zf)/HEK293-ZNF189.GFP-ChIP-Seq(GSE58341)/Homer,ZNF189
Mef2b(MADS)/HEK293-Mef2b.V5-ChIP-Seq(GSE67450)/Homer,MEF2B
Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)/Homer,ATF1
NPAS2(bHLH)/Liver-NPAS2-ChIP-Seq(GSE39860)/Homer,NPAS2
HIC1(Zf)/Treg-ZBTB29-ChIP-Seq(GSE99889)/Homer,HIC1
E2F3(E2F)/MEF-E2F3-ChIP-Seq(GSE71376)/Homer,E2F3
Gfi1b(Zf)/HPC7-Gfi1b-ChIP-Seq(GSE22178)/Homer,GFI1B
ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)/Homer,ZNF143
Hoxc9(Homeobox)/Ainv15-Hoxc9-ChIP-Seq(GSE21812)/Homer,HOXC9
"FXR(NR),ER2/Liver-FXR-ChIP-Seq(GSE133700)/Homer",FXR
PRDM9(Zf)/Testis-DMC1-ChIP-Seq(GSE35498)/Homer,PRDM9
Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872)/Homer,FOSL2
Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode)/Homer,SP2
NFkB2-p52(RHD)/U266-NFKB2-ChIP-seq(GSE230466)/Homer,NFKB2
Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer,ATF2
Hoxa11(Homeobox)/ChickenMSG-Hoxa11.Flag-ChIP-Seq(GSE86088)/Homer,HOXA11
"OCT:OCT-short(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)/Homer",OCT:OCT-short
Hoxa13(Homeobox)/ChickenMSG-Hoxa13.Flag-ChIP-Seq(GSE86088)/Homer,HOXA13
KLF14(Zf)/HEK293-KLF14.GFP-ChIP-Seq(GSE58341)/Homer,KLF14
STAT1(Stat)/HelaS3-STAT1-ChIP-Seq(GSE12782)/Homer,STAT1
Snail1(Zf)/LS174T-SNAIL1.HA-ChIP-Seq(GSE127183)/Homer,SNAIL1
ZNF711(Zf)/SHSY5Y-ZNF711-ChIP-Seq(GSE20673)/Homer,ZNF711
"FXR(NR),IR1/Liver-FXR-ChIP-Seq(Chong_et_al.)/Homer",FXR
FOXP1(Forkhead)/H9-FOXP1-ChIP-Seq(GSE31006)/Homer,FOXP1
"PAX5(Paired,Homeobox)/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer",PAX5
Gli2(Zf)/GM2-Gli2-ChIP-Chip(GSE112702)/Homer,GLI2
"ERb(NR),IR3/Ovary-ERb-ChIP-Seq(GSE203391)/Homer",ERB
Nkx2.1(Homeobox)/LungAC-Nkx2.1-ChIP-Seq(GSE43252)/Homer,NKX2-1
c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)/Homer,C-MYC
ZBTB12(Zf)/HEK293-ZBTB12.GFP-ChIP-Seq(GSE58341)/Homer,ZBTB12
Smad3(MAD)/NPC-Smad3-ChIP-Seq(GSE36673)/Homer,SMAD3
Hoxa9(Homeobox)/ChickenMSG-Hoxa9.Flag-ChIP-Seq(GSE86088)/Homer,HOXA9
Znf263(Zf)/K562-Znf263-ChIP-Seq(GSE31477)/Homer,ZNF263
Klf4(Zf)/mES-Klf4-ChIP-Seq(GSE11431)/Homer,KLF4
E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)/Homer,E2F6
USF1(bHLH)/GM12878-Usf1-ChIP-Seq(GSE32465)/Homer,USF1
Hoxc6(Homeobox)/EB-Hoxc6.iFlag-ChIP-Seq(GSE142377)/Homer,HOXC6
Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)/Homer,BARX1
Mef2c(MADS)/GM12878-Mef2c-ChIP-Seq(GSE32465)/Homer,MEF2C
